Mod:Item:MetaData, Localized Name
moreplates:empowered_emeradic_gear, Empowered Emeradic Gear
moreplates:empowered_emeradic_plate, Empowered Emeradic Plate
moreplates:empowered_enori_gear, Empowered Enori Gear
moreplates:empowered_enori_plate, Empowered Enori Plate
moreplates:empowered_palis_gear, Empowered Palis Gear
moreplates:empowered_palis_plate, Empowered Palis Plate
moreplates:empowered_restonia_gear, Empowered Restonia Gear
moreplates:empowered_restonia_plate, Empowered Restonia Plate
moreplates:empowered_void_gear, Empowered Void Gear
moreplates:empowered_void_plate, Empowered Void Plate
moreplates:certus_quartz_gear, Certus Quartz Gear
moreplates:certus_quartz_plate, Certus Quartz Plate
moreplates:fluix_gear, Fluix Gear
moreplates:fluix_plate, Fluix Plate
moreplates:crystal_matrix_gear, Crystal Matrix Gear
moreplates:crystal_matrix_plate, Crystal Matrix Plate
moreplates:infinity_gear, Infinity Gear
moreplates:infinity_plate, Infinity Plate
moreplates:neutronium_gear, Neutronium Gear
moreplates:neutronium_plate, Neutronium Plate
moreplates:elementium_gear, Elementium Gear
moreplates:elementium_plate, Elementium Plate
moreplates:gaia_spirit_gear, Gaia Spirit Gear
moreplates:gaia_spirit_plate, Gaia Spirit Plate
moreplates:manasteel_gear, Manasteel Gear
moreplates:manasteel_plate, Manasteel Plate
moreplates:terrasteel_gear, Terrasteel Gear
moreplates:terrasteel_plate, Terrasteel Plate
moreplates:awakened_draconium_gear, Awakened Draconium Gear
moreplates:awakened_draconium_plate, Awakened Draconium Plate
moreplates:draconium_gear, Draconium Gear
moreplates:draconium_plate, Draconium Plate
moreplates:conductive_iron_gear, Conductive Iron Gear
moreplates:conductive_iron_plate, Conductive Iron Plate
moreplates:dark_steel_gear, Dark Steel Gear
moreplates:dark_steel_plate, Dark Steel Plate
moreplates:electrical_steel_gear, Electrical Steel Gear
moreplates:electrical_steel_plate, Electrical Steel Plate
moreplates:end_steel_gear, End Steel Gear
moreplates:end_steel_plate, End Steel Plate
moreplates:energetic_alloy_gear, Energetic Alloy Gear
moreplates:energetic_alloy_plate, Energetic Alloy Plate
moreplates:iron_alloy_gear, Iron Alloy Gear
moreplates:iron_alloy_plate, Iron Alloy Plate
moreplates:pulsating_iron_gear, Pulsating Iron Gear
moreplates:pulsating_iron_plate, Pulsating Iron Plate
moreplates:redstone_alloy_gear, Redstone Alloy Gear
moreplates:redstone_alloy_plate, Redstone Alloy Plate
moreplates:soularium_gear, Soularium Gear
moreplates:soularium_plate, Soularium Plate
moreplates:vibrant_alloy_gear, Vibrant Alloy Gear
moreplates:vibrant_alloy_plate, Vibrant Alloy Plate
moreplates:crude_steel_gear, Crude Steel Gear
moreplates:crude_steel_plate, Crude Steel Plate
moreplates:crystalline_alloy_gear, Crystalline Alloy Gear
moreplates:crystalline_alloy_plate, Crystalline Alloy Plate
moreplates:crystalline_pink_slime_gear, Crystalline Pink Slime Gear
moreplates:crystalline_pink_slime_plate, Crystalline Pink Slime Plate
moreplates:energetic_silver_gear, Energetic Silver Gear
moreplates:energetic_silver_plate, Energetic Silver Plate
moreplates:melodic_alloy_gear, Melodic Alloy Gear
moreplates:melodic_alloy_plate,  Melodic Alloy Plate
moreplates:stellar_alloy_gear, Stellar Alloy Gear
moreplates:stellar_alloy_plate, Stellar Alloy Plate
moreplates:vivid_alloy_gear, Vivid Alloy Gear
moreplates:vivid_alloy_plate, Vivid Alloy Plate
moreplates:demon_gear, Demon Gear
moreplates:demon_plate, Demon Plate
moreplates:enchanted_gear, Enchanted Gear
moreplates:enchanted_plate, Enchanted Plate
moreplates:evil_infused_iron_gear, Evil Infused Iron Gear
moreplates:evil_infused_iron_plate, Evil Infused Iron Plate
moreplates:osmium_gear, Osmium Gear
moreplates:osmium_plate, Osmium Plate
moreplates:refined_glowstone_gear, Refined Glowstone Gear
moreplates:refined_glowstone_plate, Refined Glowstone Plate
moreplates:refined_obsidian_gear, Refined Obsidian Gear
moreplates:refined_obsidian_plate, Refined Obsidian Plate
moreplates:bronze_stick, Bronze Rod
moreplates:constantan_stick, Constantan Rod
moreplates:copper_stick, Copper Rod
moreplates:electrum_stick, Electrum Rod
moreplates:enderium_stick, Enderium Rod
moreplates:invar_stick, Invar Rod
moreplates:iridium_stick, Iridium Rod
moreplates:lead_stick, Lead Rod
moreplates:lumium_stick, Lumium Rod
moreplates:mana_infused_stick, Mana Infused Rod
moreplates:nickel_stick, Nickel Rod
moreplates:platinum_stick, Platinum Rod
moreplates:signalum_stick, Signalum Rod
moreplates:silicon_gear, Silicon Gear
moreplates:silicon_plate, Silicon Plate
moreplates:silver_stick, Silver Rod
moreplates:tin_stick, Tin Rod
moreplates:coal_gear, Coal Gear
moreplates:glowstone_gear, Glowstone Gear
moreplates:glowstone_plate, Glowstone Plate
moreplates:gold_stick, Gold Rod
moreplates:lapis_lazuli_gear, Lapis Lazuli Gear
moreplates:nether_quartz_gear, Nether Quartz Gear
moreplates:nether_quartz_plate, Nether Quartz Plate
moreplates:alumite_gear, Alumite Gear
moreplates:alumite_plate, Alumite Plate
moreplates:mirion_gear, Mirion Gear
moreplates:mirion_plate, Mirion Plate
moreplates:osgloglas_gear, Osgloglas Gear
moreplates:osgloglas_plate, Osgloglas Plate
moreplates:osmiridium_gear, Osmiridium Gear
moreplates:osmiridium_plate, Osmiridium Plate
moreplates:amber_gear, Amber Gear
moreplates:amber_plate, Amber Plate
moreplates:quicksilver_gear, Quicksilver Gear
moreplates:quicksilver_plate, Quicksilver Plate
moreplates:ardite_gear, Ardite Gear
moreplates:ardite_plate, Ardite Plate
moreplates:cobalt_gear, Cobalt Gear
moreplates:cobalt_plate, Cobalt Plate
moreplates:knightslime_gear, Knightslime Gear
moreplates:knightslime_plate, Knightslime Plate
moreplates:manyullyn_gear, Manyullyn Gear
moreplates:manyullyn_plate, Manyullyn Plate
moreplates:pig_iron_gear, Pig Iron Gear
moreplates:pig_iron_plate, Pig Iron Plate
moreplates:fiery_gear, Fiery Gear
moreplates:fiery_plate, Fiery Plate
moreplates:ironwood_gear, Ironwood Gear
moreplates:ironwood_plate, Ironwood Plate
moreplates:knightmetal_gear, Knightmetal Gear
moreplates:knightmetal_plate, Knightmetal Plate
openblocks:ladder, Jaded Ladder
openblocks:guide, Building Guide
openblocks:builder_guide, Enhanced Building Guide
openblocks:elevator:0, Elevator
openblocks:elevator:1, Elevator
openblocks:elevator:2, Elevator
openblocks:elevator:3, Elevator
openblocks:elevator:4, Elevator
openblocks:elevator:5, Elevator
openblocks:elevator:6, Elevator
openblocks:elevator:7, Elevator
openblocks:elevator:8, Elevator
openblocks:elevator:9, Elevator
openblocks:elevator:10, Elevator
openblocks:elevator:11, Elevator
openblocks:elevator:12, Elevator
openblocks:elevator:13, Elevator
openblocks:elevator:14, Elevator
openblocks:elevator:15, Elevator
openblocks:elevator_rotating:0, Rotating Elevator
openblocks:elevator_rotating:1, Rotating Elevator
openblocks:elevator_rotating:2, Rotating Elevator
openblocks:elevator_rotating:3, Rotating Elevator
openblocks:elevator_rotating:4, Rotating Elevator
openblocks:elevator_rotating:5, Rotating Elevator
openblocks:elevator_rotating:6, Rotating Elevator
openblocks:elevator_rotating:7, Rotating Elevator
openblocks:elevator_rotating:8, Rotating Elevator
openblocks:elevator_rotating:9, Rotating Elevator
openblocks:elevator_rotating:10, Rotating Elevator
openblocks:elevator_rotating:11, Rotating Elevator
openblocks:elevator_rotating:12, Rotating Elevator
openblocks:elevator_rotating:13, Rotating Elevator
openblocks:elevator_rotating:14, Rotating Elevator
openblocks:elevator_rotating:15, Rotating Elevator
openblocks:heal, Healer
openblocks:target, Target
openblocks:grave, Grave
openblocks:flag:5, Flag
openblocks:tank, Tank
openblocks:trophy, Trophy
openblocks:beartrap, Bear Trap
openblocks:sprinkler, Sprinkler
openblocks:cannon, Item Cannon
openblocks:vacuum_hopper, Vacuum Hopper
openblocks:sponge, Sponge
openblocks:big_button, Stone Big Button
openblocks:big_button_wood, Wooden Big Button
openblocks:imaginary:0, Magic Pencil
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:fan, Fan
openblocks:xp_bottler, XP Bottler
openblocks:village_highlighter, Village Highlighter
openblocks:path, Path
openblocks:auto_anvil, Auto Anvil
openblocks:auto_enchantment_table, Auto Enchantment Table
openblocks:xp_drain, XP Drain
openblocks:block_breaker, Block Breaker
openblocks:block_placer, Block Placer
openblocks:item_dropper, Item Dropper
openblocks:rope_ladder, Rope Ladder
openblocks:donation_station, Donation Station
openblocks:paint_mixer, Paint Mixer
openblocks:canvas, Canvas
openblocks:paint_can, Paint Can
openblocks:canvas_glass, Canvas
openblocks:projector, Height Map Projector
openblocks:drawing_table, Drawing Table
openblocks:sky:0, Sky Block
openblocks:sky:1, Sky Block
openblocks:xp_shower, XP Shower
openblocks:golden_egg, Golden Egg
openblocks:scaffolding, Scaffolding
openblocks:hang_glider, Hang Glider
openblocks:generic:0, Glider Wing
openblocks:generic:1, Beam
openblocks:generic:2, Crane Engine
openblocks:generic:3, Crane Magnet
openblocks:generic:5, Line
openblocks:generic:6, Map Controller Module
openblocks:generic:7, Map Memory Module
openblocks:generic:9, Assistant's base
openblocks:generic:10, Unprepared Stencil
openblocks:generic:11, Sketching Pencil
openblocks:luggage, Luggage
openblocks:sonic_glasses, Sonic Glasses
openblocks:pencil_glasses:0, Pencil Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:technicolor_glasses:0, Amazing Technicolor Glasses
openblocks:serious_glasses:0, Badass Glasses
openblocks:crane_control, Crane Control
openblocks:crane_backpack, Crane Backpack
openblocks:slimalyzer, Slimalyzer
openblocks:xp_bucket, XP Bucket
openblocks:sleeping_bag, Sleeping Bag
openblocks:paintbrush, Paint Brush
openblocks:stencil:0, Stencil
openblocks:stencil:1, Stencil
openblocks:stencil:2, Stencil
openblocks:stencil:3, Stencil
openblocks:stencil:4, Stencil
openblocks:stencil:5, Stencil
openblocks:stencil:6, Stencil
openblocks:stencil:7, Stencil
openblocks:stencil:8, Stencil
openblocks:stencil:9, Stencil
openblocks:stencil:10, Stencil
openblocks:stencil:11, Stencil
openblocks:stencil:12, Stencil
openblocks:stencil:13, Stencil
openblocks:stencil:14, Stencil
openblocks:squeegee, Squeegee
openblocks:empty_map, Empty Map
openblocks:cartographer:0, Cartographer
openblocks:tasty_clay, Tasty Clay
openblocks:golden_eye, Golden eye
openblocks:generic_unstackable:0, Pointer
openblocks:cursor, Cursor
openblocks:info_book, World Domination with OpenBlocks
openblocks:dev_null, /dev/null
openblocks:sponge_on_a_stick, Sponge
openblocks:pedometer, Pedometer
openblocks:epic_eraser, Epic Eraser
openblocks:wrench, Big Metal Bar
openblocks:glyph:32, ' ' Glyph
openblocks:glyph:48, '0' Glyph
openblocks:glyph:49, '1' Glyph
openblocks:glyph:50, '2' Glyph
openblocks:glyph:51, '3' Glyph
openblocks:glyph:52, '4' Glyph
openblocks:glyph:53, '5' Glyph
openblocks:glyph:54, '6' Glyph
openblocks:glyph:55, '7' Glyph
openblocks:glyph:56, '8' Glyph
openblocks:glyph:57, '9' Glyph
openblocks:glyph:65, 'A' Glyph
openblocks:glyph:66, 'B' Glyph
openblocks:glyph:67, 'C' Glyph
openblocks:glyph:68, 'D' Glyph
openblocks:glyph:69, 'E' Glyph
openblocks:glyph:70, 'F' Glyph
openblocks:glyph:71, 'G' Glyph
openblocks:glyph:72, 'H' Glyph
openblocks:glyph:73, 'I' Glyph
openblocks:glyph:74, 'J' Glyph
openblocks:glyph:75, 'K' Glyph
openblocks:glyph:76, 'L' Glyph
openblocks:glyph:77, 'M' Glyph
openblocks:glyph:78, 'N' Glyph
openblocks:glyph:79, 'O' Glyph
openblocks:glyph:80, 'P' Glyph
openblocks:glyph:81, 'Q' Glyph
openblocks:glyph:82, 'R' Glyph
openblocks:glyph:83, 'S' Glyph
openblocks:glyph:84, 'T' Glyph
openblocks:glyph:85, 'U' Glyph
openblocks:glyph:86, 'V' Glyph
openblocks:glyph:87, 'W' Glyph
openblocks:glyph:88, 'X' Glyph
openblocks:glyph:89, 'Y' Glyph
openblocks:glyph:90, 'Z' Glyph
openblocks:glyph:97, 'a' Glyph
openblocks:glyph:98, 'b' Glyph
openblocks:glyph:99, 'c' Glyph
openblocks:glyph:100, 'd' Glyph
openblocks:glyph:101, 'e' Glyph
openblocks:glyph:102, 'f' Glyph
openblocks:glyph:103, 'g' Glyph
openblocks:glyph:104, 'h' Glyph
openblocks:glyph:105, 'i' Glyph
openblocks:glyph:106, 'j' Glyph
openblocks:glyph:107, 'k' Glyph
openblocks:glyph:108, 'l' Glyph
openblocks:glyph:109, 'm' Glyph
openblocks:glyph:110, 'n' Glyph
openblocks:glyph:111, 'o' Glyph
openblocks:glyph:112, 'p' Glyph
openblocks:glyph:113, 'q' Glyph
openblocks:glyph:114, 'r' Glyph
openblocks:glyph:115, 's' Glyph
openblocks:glyph:116, 't' Glyph
openblocks:glyph:117, 'u' Glyph
openblocks:glyph:118, 'v' Glyph
openblocks:glyph:119, 'w' Glyph
openblocks:glyph:120, 'x' Glyph
openblocks:glyph:121, 'y' Glyph
openblocks:glyph:122, 'z' Glyph
packagedauto:packager, Packager
packagedauto:encoder, Package Recipe Encoder
packagedauto:unpackager, Unpackager
packagedauto:packager_extension, Packager Extension
packagedauto:recipe_holder, Package Recipe Holder
packagedauto:package, Recipe Package
packagedauto:package_component, Packaging Component
packagedauto:me_package_component, ME Packaging Component
packagedexcrafting:advanced_crafter, Advanced Package Crafter
packagedexcrafting:elite_crafter, Elite Package Crafter
packagedexcrafting:ultimate_crafter, Ultimate Package Crafter
practicallogistics2:hammer, Forging Hammer
practicallogistics2:hammer_air, Forging Hammer
practicallogistics2:sapphireore, Sapphire Ore
practicallogistics2:inforeader, Info Reader
practicallogistics2:inventoryreader, Inventory Reader
practicallogistics2:fluidreader, Fluid Reader
practicallogistics2:energyreader, Energy Reader
practicallogistics2:networkreader, Network Reader
practicallogistics2:array, Array
practicallogistics2:entitynode, Entity Node
practicallogistics2:transfernode, Transfer Node
practicallogistics2:redstonenode, Redstone Node
practicallogistics2:clock, Clock
practicallogistics2:redstonesignaller, Redstone Signaller
practicallogistics2:minidisplay, Mini Display
practicallogistics2:displayscreen, Display Screen
practicallogistics2:largedisplayscreen, Large Display Screen
practicallogistics2:holographicdisplay, Holographic Display
practicallogistics2:advancedholographicdisplay, Advanced Holographic Display
practicallogistics2:datacable, Data Cable
practicallogistics2:redstonecable, Redstone Cable
practicallogistics2:node, Node
practicallogistics2:dataemitter, Data Emitter
practicallogistics2:datareceiver, Data Receiver
practicallogistics2:redstoneemitter, Wireless Redstone Emitter
practicallogistics2:redstonereceiver, Wireless Redstone Receiver
practicallogistics2:sapphire, Sapphire
practicallogistics2:sapphiredust, Sapphire Dust
practicallogistics2:stoneplate, Stone Plate
practicallogistics2:signallingplate, Signalling Plate
practicallogistics2:wirelessplate, Wireless Plate
practicallogistics2:etchedplate, Etched Plate
practicallogistics2:transceiver, Transceiver
practicallogistics2:entitytransceiver, Entity Transceiver
practicallogistics2:wirelessstorage, Wireless Storage Reader
practicallogistics2:operator, Operator Tool
practicallogistics2:plguide, Practical Logistics Guide
quantumflux:craftingpiece:0, Quibit Crystal
quantumflux:craftingpiece:1, Gold Casing
quantumflux:craftingpiece:2, Amplification Crystal
quantumflux:craftingpiece:3, Ender Crystal
quantumflux:craftingpiece:4, Quantum Disk
quantumflux:craftingpiece:5, Advanced Circuit
quantumflux:craftingpiece:6, Hyper Diamond
quantumflux:magnet,  Item Magnet
quantumflux:exciterupgrade, Exciter Upgrade
quantumflux:quibitcell, Quibit Cell
quantumflux:netherbane, The Netherbane
quantumflux:voidbucket, Void Bucket
quantumflux:mattertransporter, Matter Transporter
quantumflux:hamcheese, Ham & Cheese Sandwhich
quantumflux:graphitedust, Graphite Dust
quantumflux:linkingcard, Telepad Linking Card
quantumflux:imaginarytime, Imaginary Time Block
quantumflux:zeropointextractor, Zero Point Extractor (ZPE)
quantumflux:entropyaccelerator, Quantum Entropy Accelerator
quantumflux:quibitcluster:0, Creative Quibit Cluster
quantumflux:quibitcluster:1, Quibit Cluster Level 1
quantumflux:quibitcluster:2, Quibit Cluster Level 2
quantumflux:quibitcluster:3, Quibit Cluster Level 3
quantumflux:quibitcluster:4, Quibit Cluster Level 4
quantumflux:quibitcluster:5, Quibit Cluster Level 5
quantumflux:darkstone:0, Darkstone
quantumflux:darkstone:1, Darkstone Lamp
quantumflux:darkstone:2, Decorative Darkstone
quantumflux:darkstone:3, Darkstone Tile
quantumflux:rfentangler, RF Entangler
quantumflux:rfexciter, RF Exciter
quantumflux:graphiteore, Industrial Grade Graphite Ore
quantumflux:mobglue, Glue Trap
quantumflux:telepad, Telepad
randomthings:fertilizeddirt, Fertilized Dirt
randomthings:fertilizeddirttilled, Fertilized Dirt
randomthings:playerinterface, Player Interface
randomthings:creativeplayerinterface, Creative Player Interface
randomthings:lapisglass, Lapis Glass
randomthings:lapislamp, Lapis Lamp
randomthings:dyeingmachine, Dyeing Machine
randomthings:onlinedetector, Online Detector
randomthings:chatdetector, Chat Detector
randomthings:enderbridge, Ender Bridge
randomthings:prismarineenderbridge, Prismarine Ender Bridge
randomthings:enderanchor, Ender Anchor
randomthings:beanstalk, Magic Bean Stalk
randomthings:lesserbeanstalk, Lesser Bean Stalk
randomthings:beanpod, Bean Pod
randomthings:lightredirector, Light Redirector
randomthings:imbuingstation, Imbuing Station
randomthings:spectreblock, Spectre Block
randomthings:specialchest:0, Nature Chest
randomthings:specialchest:1, Water Chest
randomthings:analogemitter, Analog Emitter
randomthings:fluiddisplay, Fluid Display
randomthings:customworkbench, Crafting Table
randomthings:endermailbox, Ender Mailbox
randomthings:pitcherplant, Pitcher Plant
randomthings:platform:0, Oak Platform
randomthings:platform:1, Spruce Platform
randomthings:platform:2, Birch Platform
randomthings:platform:3, Jungle Platform
randomthings:platform:4, Acacia Platform
randomthings:platform:5, Dark Oak Platform
randomthings:entitydetector, Entity Detector
randomthings:quartzlamp, Quartz Lamp
randomthings:quartzglass, Quartz Glass
randomthings:potionvaporizer, Potion Vaporizer
randomthings:voxelprojector, [WIP] Voxel Projector
randomthings:contactbutton, Contact Button
randomthings:contactlever, Contact Lever
randomthings:sakanade, Sakanade
randomthings:rainshield, Rain Shield
randomthings:blockbreaker, Block Breaker
randomthings:superlubricentice, Superlubricent Ice
randomthings:compressedslimeblock, Compressed Slime Block
randomthings:superlubricentplatform, Super Lubricent Platform
randomthings:filteredsuperlubricentplatform, Filtered Super Lubricent Platform
randomthings:redstoneobserver, Redstone Observer
randomthings:biomeradar, Biome Radar
randomthings:irondropper, Iron Dropper
randomthings:igniter, Igniter
randomthings:blockofsticks:0, Block of Sticks
randomthings:blockofsticks:1, Returning Block of Sticks
randomthings:blazingfire, tile.blazingFire.name
randomthings:luminousblock:0, White Luminous Block
randomthings:luminousblock:1, Orange Luminous Block
randomthings:luminousblock:2, Magenta Luminous Block
randomthings:luminousblock:3, Light Blue Luminous Block
randomthings:luminousblock:4, Yellow Luminous Block
randomthings:luminousblock:5, Lime Luminous Block
randomthings:luminousblock:6, Pink Luminous Block
randomthings:luminousblock:7, Gray Luminous Block
randomthings:luminousblock:8, Light Gray Luminous Block
randomthings:luminousblock:9, Cyan Luminous Block
randomthings:luminousblock:10, Purple Luminous Block
randomthings:luminousblock:11, Blue Luminous Block
randomthings:luminousblock:12, Brown Luminous Block
randomthings:luminousblock:13, Green Luminous Block
randomthings:luminousblock:14, Red Luminous Block
randomthings:luminousblock:15, Black Luminous Block
randomthings:translucentluminousblock:0, White Translucent Luminous Block
randomthings:translucentluminousblock:1, Orange Translucent Luminous Block
randomthings:translucentluminousblock:2, Magenta Translucent Luminous Block
randomthings:translucentluminousblock:3, Light Blue Translucent Luminous Block
randomthings:translucentluminousblock:4, Yellow Translucent Luminous Block
randomthings:translucentluminousblock:5, Lime Translucent Luminous Block
randomthings:translucentluminousblock:6, Pink Translucent Luminous Block
randomthings:translucentluminousblock:7, Gray Translucent Luminous Block
randomthings:translucentluminousblock:8, Light Gray Translucent Luminous Block
randomthings:translucentluminousblock:9, Cyan Translucent Luminous Block
randomthings:translucentluminousblock:10, Purple Translucent Luminous Block
randomthings:translucentluminousblock:11, Blue Translucent Luminous Block
randomthings:translucentluminousblock:12, Brown Translucent Luminous Block
randomthings:translucentluminousblock:13, Green Translucent Luminous Block
randomthings:translucentluminousblock:14, Red Translucent Luminous Block
randomthings:translucentluminousblock:15, Black Translucent Luminous Block
randomthings:inventoryrerouter, Inventory Rerouter
randomthings:slimecube, §aSlime Cube§7
randomthings:peacecandle, Peace Candle
randomthings:notificationinterface, Notification Interface
randomthings:glowingmushroom, Glowing Mushroom
randomthings:inventorytester, Inventory Tester
randomthings:superlubricentstone, Super Lubricent Stone
randomthings:globalchatdetector, Global Chat Detector
randomthings:triggerglass, Trigger Glass
randomthings:blockdestabilizer, Block Destabilizer
randomthings:lotus, Lotus
randomthings:ancientbrick, Ancient Brick [INTERNAL]
randomthings:soundbox, Sound Box
randomthings:sounddampener, Sound Dampener
randomthings:diaphanousblock, Diaphanous Block
randomthings:sidedredstone, Sided Block of Redstone
randomthings:spectrelens, Spectre Lens
randomthings:spectreenergyinjector, Spectre Energy Injector
randomthings:plate_processing, Processing Plate
randomthings:spectrecoil_normal, Spectre Coil
randomthings:spectrecoil_redstone, Redstone Spectre Coil
randomthings:spectrecoil_ender, Ender Spectre Coil
randomthings:spectrecoil_number, Spectre Coil Nr. %s
randomthings:spectrecoil_genesis, Genesis Spectre Coil
randomthings:advancedredstonerepeater, Advanced Redstone Repeater
randomthings:advancedredstonetorch_on, Advanced Redstone Torch
randomthings:floobrick, Floo Brick
randomthings:spectreplank, Spectre Planks
randomthings:spectresapling, Spectre Sapling
randomthings:spectrelog, Spectre Wood
randomthings:spectreleaf, Spectre Leaves
randomthings:itemcollector, Item Collector
randomthings:advanceditemcollector, Advanced Item Collector
randomthings:naturecore, Nature Core
randomthings:biomestone:0, Biome Cobblestone
randomthings:biomestone:1, Biome Stone
randomthings:biomestone:2, Biome Stone Bricks
randomthings:biomestone:3, Cracked Biome Stone Bricks
randomthings:biomestone:4, Chiseled Biome Stone Bricks
randomthings:biomeglass, Biome Glass
randomthings:coloredgrass:0, White Grass
randomthings:coloredgrass:1, Orange Grass
randomthings:coloredgrass:2, Magenta Grass
randomthings:coloredgrass:3, Light Blue Grass
randomthings:coloredgrass:4, Yellow Grass
randomthings:coloredgrass:5, Lime Grass
randomthings:coloredgrass:6, Pink Grass
randomthings:coloredgrass:7, Gray Grass
randomthings:coloredgrass:8, Light Gray Grass
randomthings:coloredgrass:9, Cyan Grass
randomthings:coloredgrass:10, Purple Grass
randomthings:coloredgrass:11, Blue Grass
randomthings:coloredgrass:12, Brown Grass
randomthings:coloredgrass:13, Green Grass
randomthings:coloredgrass:14, Red Grass
randomthings:coloredgrass:15, Black Grass
randomthings:spectrecore, Spectre Core
randomthings:rainbowlamp, Rainbow Lamp
randomthings:basicredstoneinterface, Basic Redstone Interface
randomthings:advancedredstoneinterface, Advanced Redstone Interface
randomthings:stainedbrick:0, White Stained Bricks
randomthings:stainedbrick:1, Orange Stained Bricks
randomthings:stainedbrick:2, Magenta Stained Bricks
randomthings:stainedbrick:3, Light Blue Stained Bricks
randomthings:stainedbrick:4, Yellow Stained Bricks
randomthings:stainedbrick:5, Lime Stained Brickss
randomthings:stainedbrick:6, Pink Stained Bricks
randomthings:stainedbrick:7, Gray Stained Bricks
randomthings:stainedbrick:8, Light Gray Stained Bricks
randomthings:stainedbrick:9, Cyan Stained Bricks
randomthings:stainedbrick:10, Purple Stained Bricks
randomthings:stainedbrick:11, Blue Stained Bricks
randomthings:stainedbrick:12, Brown Stained Bricks
randomthings:stainedbrick:13, Green Stained Bricks
randomthings:stainedbrick:14, Red Stained Bricks
randomthings:stainedbrick:15, Black Stained Bricks
randomthings:luminousstainedbrick:0, Luminous White Stained Bricks
randomthings:luminousstainedbrick:1, Luminous Orange Stained Bricks
randomthings:luminousstainedbrick:2, Luminous Magenta Stained Bricks
randomthings:luminousstainedbrick:3, Luminous Light Blue Stained Bricks
randomthings:luminousstainedbrick:4, Luminous Yellow Stained Bricks
randomthings:luminousstainedbrick:5, Luminous Lime Stained Bricks
randomthings:luminousstainedbrick:6, Luminous Pink Stained Bricks
randomthings:luminousstainedbrick:7, Luminous Gray Stained Bricks
randomthings:luminousstainedbrick:8, Luminous Light Gray Stained Bricks
randomthings:luminousstainedbrick:9, Luminous Cyan Stained Bricks
randomthings:luminousstainedbrick:10, Luminous Purple Stained Bricks
randomthings:luminousstainedbrick:11, Luminous Blue Stained Bricks
randomthings:luminousstainedbrick:12, Luminous Brown Stained Bricks
randomthings:luminousstainedbrick:13, Luminous Green Stained Bricks
randomthings:luminousstainedbrick:14, Luminous Red Stained Bricks
randomthings:luminousstainedbrick:15, Luminous Black Stained Bricks
randomthings:plate_redirector, Redirector Plate
randomthings:plate_filteredredirector, Filtered Redirector Plate
randomthings:plate_redstone, Redstone Plate
randomthings:plate_corrector, Corrector Plate
randomthings:plate_itemsealer, Item Sealer Plate
randomthings:plate_itemrejuvenator, Item Rejuvenator Plate
randomthings:plate_accelerator, Accelerator Plate
randomthings:plate_accelerator_directional, Directional Accelerator Plate
randomthings:plate_bouncy, Bouncy Plate
randomthings:plate_collection, Collection Plate
randomthings:plate_extraction, Extraction Plate
randomthings:stableenderpearl, Stable Ender Pearl
randomthings:biomecrystal, Biome Crystal
randomthings:positionfilter, Position Filter
randomthings:summoningpendulum, Summoning Pendulum
randomthings:beans:0, Bean
randomthings:beans:1, Lesser Magic Bean
randomthings:beans:2, Magic Bean
randomthings:beanstew, Bean Stew
randomthings:redstonetool, Redstone Tool
randomthings:waterwalkingboots, Water Walking Boots
randomthings:dungeonchestgenerator, Loot Generator
randomthings:lavacharm, Lava Charm
randomthings:lavawader, Lava Waders
randomthings:obsidianskull, Obsidian Skull
randomthings:obsidianskullring, Obsidian Skull Ring
randomthings:obsidianwaterwalkingboots, Obsidian Water Walking Boots
randomthings:magichood, Magic Hood
randomthings:imbue:0, Fire Imbue
randomthings:imbue:1, Poison Imbue
randomthings:imbue:2, Experience Imbue
randomthings:imbue:3, Wither Imbue
randomthings:bottleofair, Bottle of Air
randomthings:rezstone, Blood Stone
randomthings:enderletter, Ender Letter
randomthings:entityfilter, Entity Filter
randomthings:ingredient:0, Sakanade Spores
